location_area,property_location,total_price,area_sqft,price(sqft),face,outside_view,lat,long_,property_link
delhi jaipur expressway, delhi-jaipur expressway,7763000.0,2187,3549.0,,garden view,27.8282166,76.2598771,https://www.squareyards.com/resale-243-sq-yd-plot-in-delhi-jaipur-expressway/9656085
delhi jaipur expressway, delhi-jaipur expressway,4441000.0,1251,3549.0,,garden view,27.8282166,76.2598771,https://www.squareyards.com/resale-139-sq-yd-plot-in-delhi-jaipur-expressway/9656055
delhi jaipur expressway, delhi-jaipur expressway,7123999.999999999,2007,3549.0,,garden view,27.8282166,76.2598771,https://www.squareyards.com/resale-223-sq-yd-plot-in-delhi-jaipur-expressway/9656079
ajmer road, ajmer road,1718000.0,1242,1383.0,,,26.893845,75.747296,https://www.squareyards.com/resale-138-sq-yd-plot-in-suryansh-city-1/9694354
delhi jaipur expressway, delhi-jaipur expressway,4057000.0,1143,3549.0,,garden view,27.8282166,76.2598771,https://www.squareyards.com/resale-127-sq-yd-plot-in-delhi-jaipur-expressway/9656052
delhi jaipur expressway, delhi-jaipur expressway,3674000.0,1035,3549.0,,garden view,27.8282166,76.2598771,https://www.squareyards.com/resale-115-sq-yd-plot-in-universal-city/9656049
delhi jaipur expressway, delhi-jaipur expressway,6741000.0,1899,3549.0,,garden view,27.8282166,76.2598771,https://www.squareyards.com/resale-211-sq-yd-plot-in-delhi-jaipur-expressway/9656076
jagatpura, jagatpura,6454000.000000001,1386,4656.0,,garden view,26.8176736,75.8617171,https://www.squareyards.com/resale-154-sq-yd-plot-in-jagatpura/9737804
jagatpura, jagatpura,6444000.0,1296,4972.0,,garden view,26.8176736,75.8617171,https://www.squareyards.com/resale-144-sq-yd-plot-in-jagatpura/9737803
jagatpura, jagatpura,6423999.999999999,1116,5756.0,,garden view,26.8176736,75.8617171,https://www.squareyards.com/resale-124-sq-yd-plot-in-jagatpura/9737801
jagatpura, jagatpura,6415000.000000001,1035,6198.0,,garden view,26.8176736,75.8617171,https://www.squareyards.com/resale-115-sq-yd-plot-in-jagatpura/9737811
jagatpura, jagatpura,6476000.000000001,1584,4088.0,,garden view,26.8176736,75.8617171,https://www.squareyards.com/resale-176-sq-yd-plot-in-jagatpura/9737827
