,property_type,location_area,location,total_price,bhk,bath,covered_parking,open_parking,furnished_status,property_link,builtup_area
120,flat,jagatpura, Jagatpura,6500000.0,3.0,2.0,1.0,,Semi-Furnished,https://www.squareyards.com/resale-3-bhk-servant-room-1250-sq-ft-apartment-in-jagatpura/9576054,1250.0
121,flat,bhakrota, Bhankrota,4700000.0,2.0,2.0,1.0,1.0,Semi-Furnished,https://www.squareyards.com/resale-2-bhk-947-sq-ft-apartment-in-the-century-elite/9182554,947.0
122,flat,jagatpura, Jagatpura,4501000.0,2.0,2.0,,,Semi-Furnished,https://www.squareyards.com/resale-2-bhk-pooja-room-1010-sq-ft-apartment-in/9669298,1010.0
123,flat,other, Kalwara,28000000.0,4.0,4.0,3.0,,Furnished,https://www.squareyards.com/resale-4-bhk-2584-sq-ft-apartment-in-galaxy-enclave-kalwara/9199180,2584.0
124,flat,jagatpura, Jagatpura,5800000.0,3.0,2.0,,,Semi-Furnished,https://www.squareyards.com/resale-3-bhk-pooja-room-1344-sq-ft-apartment-in-town-square/9137931,1344.0
125,flat,jagatpura, Jagatpura,3800000.0,3.0,2.0,1.0,,Semi-Furnished,https://www.squareyards.com/resale-3-bhk-1200-sq-ft-apartment-in-jagatpura/9782991,1200.0
126,flat,central jaipur, C-Scheme,24200000.0,4.0,4.0,2.0,1.0,Semi-Furnished,https://www.squareyards.com/resale-4-bhk-2205-sq-ft-apartment-in/9637985,2205.0
127,flat,dholai, Mohanpura,5000000.0,2.5,2.0,1.0,,Semi-Furnished,https://www.squareyards.com/resale-2-5-bhk-study-room-1170-sq-ft-apartment-in-unique-sapphire/9216302,1170.0
128,flat,central jaipur, Bani Park,7800000.0,2.0,3.0,,1.0,Unfurnished,https://www.squareyards.com/resale-2-bhk-1150-sq-ft-apartment-in-arg-maharaja-apartment/9026112,1150.0
129,flat,mansarovar, Mansarovar Extension,3700000.0,2.0,2.0,,,Semi-Furnished,https://www.squareyards.com/resale-2-bhk-pooja-room-extra-room-1500-sq-ft-apartment-in-amaira/8920365,1500.0
130,flat,mansarovar, Mansarovar,5500000.0,3.0,2.0,,,Semi-Furnished,https://www.squareyards.com/resale-3-bhk-pooja-room-1350-sq-ft-apartment-in-pooja-tower/8998876,1173.0
131,flat,other, Murlipura,5600000.0,3.0,3.0,1.0,1.0,Semi-Furnished,https://www.squareyards.com/resale-3-bhk-pooja-room-74-sq-yd-apartment-in-shree-balaji-chamber-and/9090480,74.0
132,flat,dholai, Dholai,12100000.0,4.0,4.0,1.0,,Unfurnished,https://www.squareyards.com/resale-4-bhk-2112-sq-ft-apartment-in-reliant-floresta/9392736,1836.0
133,flat,nirman nagar, Nirman Nagar,12500000.0,3.0,3.0,1.0,,Semi-Furnished,https://www.squareyards.com/resale-3-bhk-pooja-room-1824-sq-ft-apartment-in-nirman-nagar/8865997,1586.0
134,flat,vaishali nagar, Vaishali Nagar,4550000.0,2.0,2.0,,,Semi-Furnished,https://www.squareyards.com/resale-2-bhk-931-sq-ft-apartment-in-vaishali-nagar/9359158,931.0
135,flat,mansarovar, Mansarovar,3600000.0,2.0,2.0,,,Semi-Furnished,https://www.squareyards.com/resale-2-bhk-extra-room-845-sq-ft-apartment-in-mansarovar/9842469,845.0
136,flat,jagatpura, Keshar Vihar,5500000.0,3.0,2.0,1.0,1.0,Semi-Furnished,https://www.squareyards.com/resale-3-bhk-1350-sq-ft-apartment-in-kesar-green/8562700,1350.0
137,studio flat,bhakrota, Keshupura,5500000.0,0.0,1.0,,,Semi-Furnished,https://www.squareyards.com/resale-studio-pooja-room-648-sq-ft-apartment-in-manglam-aadhar/9078720,648.0
139,flat,other, Vatika,10700000.0,3.0,3.0,,,Semi-Furnished,https://www.squareyards.com/resale-3-bhk-pooja-room-study-room-1561-sq-ft-apartment-in-shree-govind-crystal-city-phase-ii/9702985,1561.0
