,property_type,location_area,location,total_price,price_sqft,bhk,bath,covered_parking,open_parking,pooja_room,servant_room,study_room,extra_rooms,furnished_status,lat,long_,property_link,builtup_area
2429, Builder Floor ,vaishali nagar, Vaishali Nagar,2602000.0,3520.0,2,2.0,2.0,,0,0,0,0,Semi-Furnished,26.904824,75.748962,https://www.squareyards.com/resale-2-bhk-739-sq-ft-builder-floor-in-vaishali-nagar/9546829,739.0
2430, Builder Floor ,vaishali nagar, Vaishali Nagar,2303000.0,4437.0,2,2.0,2.0,,0,0,0,0,Semi-Furnished,26.904824,75.748962,https://www.squareyards.com/resale-2-bhk-519-sq-ft-builder-floor-in-vaishali-nagar/9546809,519.0
2431, Builder Floor ,sodala, Sodala,7500000.0,5769.0,3,2.0,1.0,1.0,0,0,0,0,semi-furnished,26.8940094182733,75.7858388498425,https://www.squareyards.com/resale-3-bhk-1300-sq-ft-builder-floor-in-sodala/8471609,1300.0
2432, Builder Floor ,sodala, Sodala,7000000.0,4666.0,3,2.0,1.0,1.0,0,0,0,0,Furnished,26.8855858719876,75.76806854456663,https://www.squareyards.com/resale-3-bhk-1500-sq-ft-builder-floor-in-sodala/8451667,1500.0
2433, Builder Floor ,sodala, Sodala,5500000.0,3928.0,3,2.0,1.0,1.0,0,0,0,0,semi-furnished,26.892821129274505,75.7742128148675,https://www.squareyards.com/resale-3-bhk-1400-sq-ft-builder-floor-in-sodala/8855622,1400.0
2434, Builder Floor ,sodala, Sodala,4600000.0,4600.0,2,2.0,1.0,1.0,0,0,0,0,Semi-Furnished,26.884189960640697,75.77256292104721,https://www.squareyards.com/resale-2-bhk-1000-sq-ft-builder-floor-in-sodala/8421707,1000.0
2435, Builder Floor ,central jaipur, C-Scheme,28000000.0,13861.0,3,3.0,2.0,1.0,0,0,0,0,Semi-Furnished,26.9132858,75.8034465,https://www.squareyards.com/resale-3-bhk-2020-sq-ft-builder-floor-in-c-scheme/9407627,2020.0
2436, Builder Floor ,vaishali nagar, Vaishali Nagar,15500000.0,6212.0,3,2.0,1.0,1.0,0,1,0,0,semi-furnished,26.904824,75.748962,https://www.squareyards.com/resale-3-bhk-servant-room-2495-sq-ft-builder-floor-in-vaishali-nagar/9344448,2495.0
2437, Builder Floor ,vaishali nagar, Vaishali Nagar,15500000.0,6391.0,3,2.0,1.0,1.0,0,1,0,0,semi-furnished,26.904824,75.748962,https://www.squareyards.com/resale-3-bhk-servant-room-2425-sq-ft-builder-floor-in-vaishali-nagar/9344421,2425.0
2438, Builder Floor ,vaishali nagar, Vaishali Nagar,15800000.0,6502.0,3,2.0,1.0,1.0,0,1,0,0,semi-furnished,26.904824,75.748962,https://www.squareyards.com/resale-3-bhk-servant-room-2430-sq-ft-builder-floor-in-vaishali-nagar/9344393,2430.0
